,code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
468,P058,Pranel (Gerres sp.),1,3,4.55,7.75,5.94,3.24,1.82,5.85,4.79,1.05,5.97
469,P059,Pulli paarai (Gnathanodon speciosus),1,2.94,4.88,8.31,5.75,2.75,1.63,5.11,4.42,1.21,5.7
470,P060,Queen fish (Scomberoides commersonianus),3,0.86,4.56,7.58,5.93,3.63,1.39,4.25,5.98,0.80,5.32
471,P061,Raai fish (Lobotes surinamensis),2,2.8,4.52,8.05,6.48,3.1,1.76,5.54,5.91,1.07,5.17
472,P062,Raai vanthu (Epinephelus chlorostigma),1,3.26,4.47,7.89,6.71,2.98,2.14,5.02,6.5,1.62,5.06
473,P063,Rani (Pink perch),1,4.35,4.65,8.03,7.27,2.56,1.95,5.04,5.07,1.66,5.07
474,P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,3.06,4.77,7.94,6.52,2.65,1.41,5.87,5.04,0.98,4.64
475,P065,Red snapper (Lutjanus argentimaculatus),1,3.14,4.57,7.89,6.32,3.8,1.68,6.28,6.16,1.12,5.26
476,P066,"Red snapper, small (Priacanthus hamrur)",1,3.49,4.39,8.59,5.04,2.59,1.64,6.78,5.74,0.89,5.14
477,P067,Sadaya (Platax orbicularis ),1,3.29,4.47,8.82,5.16,2.91,1.18,6.44,5.73,1.26,5.42
478,P068,Salmon (Salmo salar),1,3.6,4.78,7.83,5.44,3.15,1.52,5.4,5.87,0.92,5.63
479,P069,Sangada (Nemipterus japonicus),1,2.39,4.6,8.71,6.72,2.21,1.09,6.34,6.32,0.96,5.19
480,P070,Sankata paarai (Caranx ignobilis),1,2.04,4.86,8.36,6.56,3.36,1.65,6.11,5.31,1.39,5.69
481,P071,Sardine (Sardinella longiceps),1,4.31,4.73,8.17,6.43,3,1.84,5.24,5.3,1.57,5.18
482,P072,Shark (Carcharhinus sorrah),2,3.58,5.05,7.41,5.73,4.31,2.46,3.81,5.65,0.85,5.52
483,P073,"Shark, hammer head (Sphyrna mokarran)",1,4.13,3.75,8.2,7.99,4.51,1.27,5.19,3.88,0.65,4.97
484,P074,"Shark, spotted (Stegostoma fasciatum)",1,3.69,5.22,8.44,4.47,3.38,0.92,4.04,5.38,0.96,5.49
485,P075,Shelavu (Sphyraena jello),4,2.76,4.66,8.18,6.33,3.37,1.35,5.56,5.06,1.08,5.46
486,P076,Silan (Silonia silondia),1,1.55,4.71,7.92,6.17,3.61,1.58,4.04,5.38,0.96,5.49
487,P077,Silk fish (Beryx sp.),1,3.39,4.36,7.84,6.34,3.22,1.47,3.98,4.93,1.22,5.02
488,P078,Silver carp (Hypophthalmichthys molitrix),1,4.51,4.75,7.24,6.11,4.24,1.41,5.32,4.69,1.17,4.77
489,P079,Sole fish (Cynoglossus arel),1,2.53,4.56,8.08,5.35,4.48,2.43,6.71,5.42,0.97,5.18
490,P080,Stingray (Dasyatis pastinaca),1,4.54,3.56,6.37,5.66,2.86,1.88,5.12,4.71,0.92,5.58
491,P081,Tarlava (Drepane punctata),2,4.06,4.72,8.11,6.14,2.13,1.58,5.08,4.9,0.82,5.38
492,P082,Tholam (Plectorhinchus schotaf),2,3.17,4.66,8.42,6.37,2.79,1.78,4.79,5.11,0.95,5.51
493,P083,Tilapia (Oreochromis niloticus),1,4.21,5.71,7.87,7.71,3.19,1.52,6.02,5.41,0.79,5.66
