0,code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,95.33,0.59,0.12,0.16,0.78,0.40,0.38,3.02,70
227,E067,Wood Apple (Limonia acidissima),3,79.36,3.14,1.15,3.62,5.21,3.77,1.44,7.52,327
228,E068,Zizyphus (Zizyphus jujube),1,84.39,1.34,0.80,0.35,3.73,2.71,1.02,9.40,204
229,F001,Beet root (Beta vulgaris),6,86.95,1.95,1.46,0.14,3.31,2.60,0.71,6.18,149
230,F002,"Carrot, orange (Dacus carota)",6,87.69,0.95,1.16,0.47,4.18,2.81,1.37,5.55,139
231,F003,"Carrot, red (Dacus carota)",4,86.07,1.04,1.22,0.47,4.49,3.09,1.40,6.71,160
232,F004,Colocasia (Colocasia antiquorum),6,73.49,3.31,1.95,0.17,3.22,2.54,0.68,17.85,372
233,F005,Lotus root (Nelumbium nelumbo),3,76.26,1.94,1.50,0.93,4.70,2.86,1.84,14.67,332
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,80.72,1.54,0.92,0.23,1.71,1.13,0.58,14.89,292
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,82.97,1.35,0.87,0.22,1.69,1.15,0.54,12.90,255
236,F008,"Potato, red skin (Solanum tuberosum)",1,79.72,1.83,1.13,0.22,1.68,1.11,0.57,15.43,306
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,89.32,0.67,0.73,0.13,2.46,1.96,0.49,6.71,134
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,89.05,0.77,0.82,0.15,2.65,1.98,0.67,6.56,135
239,F011,"Radish, round, red skin (Raphanus sativus)",1,89.68,0.89,0.91,0.16,2.29,1.56,0.73,6.07,130
240,F012,"Radish, round, white skin (Raphanus sativus)",2,89.76,0.80,0.80,0.14,2.37,1.63,0.74,6.13,129
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,69.21,1.33,0.96,0.26,3.99,2.57,1.43,24.25,456
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,69.58,1.27,0.95,0.33,3.94,2.53,1.41,23.93,452
243,F015,Tapioca (Manihot esculenta),3,75.23,1.03,1.12,0.20,4.61,3.85,0.76,17.81,334
244,F016,Water Chestnut (Eleocharis dulcis),1,73.34,0.86,0.95,0.37,3.02,2.15,0.87,21.46,400
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,74.39,2.56,1.29,0.14,4.17,3.25,0.92,17.46,353
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,74.28,2.18,1.64,0.17,4.08,3.32,0.76,17.65,349
247,F019,"Yam, wild (Dioscorea versicolor)",2,69.35,3.07,1.76,0.30,4.57,3.29,1.29,20.95,430
248,G001,"Chillies, green-1 (Capsicum annum)",5,84.47,2.62,1.01,0.73,4.86,3.31,1.55,6.32,191
249,G002,"Chillies, green-2 (Capsicum annum)",3,85.72,2.28,0.85,0.75,5.13,3.79,1.34,5.27,167
250,G003,"Chillies, green-3 (Capsicum annum)",5,85.59,2.38,0.95,0.75,5.10,3.61,1.50,5.23,169
251,G004,"Chillies, green-4 (Capsicum annum)",3,85.29,2.33,0.87,0.74,4.15,2.84,1.31,6.63,190
252,G005,"Chillies, green-5 (Capsicum annum)",2,85.93,2.01,0.82,0.65,3.95,2.83,1.12,6.64,180
253,G006,"Chillies, green-6 (Capsicum annum)",1,84.93,3.01,0.96,0.64,5.15,3.91,1.24,5.31,175
254,G007,"Chillies, green-7 (Capsicum annum)",1,85.83,2.12,0.90,0.60,4.95,3.75,1.20,5.61,163
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,85.39,2.36,0.91,0.72,4.77,3.41,1.37,5.86,177
256,G009,Coriander leaves (Coriandrum sativum),6,86.99,3.52,2.19,0.70,4.66,3.24,1.42,1.93,130
257,G010,Curry leaves (Murraya koenigii),6,65.33,7.41,4.86,1.06,16.83,13.81,3.02,4.51,266
258,G011,"Garlic, big clove (Allium sativum)",6,64.38,6.92,1.40,0.16,5.22,2.56,2.66,21.93,518
259,G012,"Garlic, small clove (Allium sativum)",3,64.42,6.75,1.38,0.14,5.47,2.61,2.86,21.84,514
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,64.49,6.12,1.76,0.16,4.01,2.20,1.81,23.46,523
261,G014,"Ginger, fresh (Zinziber officinale)",6,81.27,2.22,1.33,0.85,5.36,4.28,1.08,8.97,230
262,G015,Mango ginger (Curcuma amada),3,84.55,1.45,1.57,0.70,4.74,3.79,0.95,6.98,177
263,G016,Mint leaves (Mentha spicata ),4,84.24,4.66,2.18,0.65,5.89,4.49,1.40,2.39,155
264,G017,"Onion, big (Allium cepa)",6,85.76,1.50,0.50,0.24,2.45,1.92,0.53,9.56,201
265,G018,"Onion, small (Allium cepa)",5,84.67,1.82,0.61,0.16,1.16,0.70,0.46,11.58,237
266,G019,Asafoetida (Ferula assa-foetida),6,9.42,6.34,5.90,1.26,5.13,3.90,1.23,71.95,1387
267,G020,"Cardamom, green (Elettaria cardamomum)",6,11.24,8.10,7.21,2.60,23.10,20.46,2.64,47.76,1067
268,G021,"Cardamom, black (Elettaria cardamomum)",4,6.69,6.69,7.84,2.80,23.46,20.73,2.74,52.53,1132
269,G022,"Chillies, red (Capsicum annum)",6,14.57,12.69,5.73,6.40,31.15,26.55,4.60,29.46,990
270,G023,Cloves (Syzygium aromaticum),6,26.49,5.86,5.99,8.41,34.52,28.07,6.46,18.73,781
271,G024,Coriander seeds (Coriandrum sativum),6,8.72,10.66,5.36,17.47,44.81,35.27,9.54,12.98,1125
272,G025,Cumin seeds (Cuminum cyminum),6,10.59,13.91,5.90,16.64,30.35,25.73,4.62,22.62,1274
273,G026,Fenugreek seeds (Trigonella foenum graecum),6,7.82,25.41,2.93,5.72,47.55,27.63,19.92,10.57,983
274,G027,Mace (Myristica fragrans),6,20.06,6.24,2.47,24.41,20.31,16.78,3.54,26.51,1488
275,G028,Nutmeg (Myristica fragrans),6,15.55,6.30,1.99,36.52,11.99,10.54,1.46,27.64,1940
276,G029,Omum (Trachyspermum ammi),6,9.71,15.89,8.18,21.11,20.58,17.20,3.38,24.53,1495
277,G030,Pippali (Piper longum),6,10.95,10.53,6.41,2.27,34.14,29.57,4.57,35.70,906
278,G031,"Pepper, black (Piper nigrum)",6,13.18,10.12,4.58,2.74,33.16,30.61,2.54,36.22,910
279,G032,Poppy seeds (Papaver somniferum),6,4.22,20.31,6.04,30.38,26.68,15.62,11.06,12.37,1768
280,G033,Turmeric powder (Curcuma domestica),6,10.58,7.66,6.13,5.03,21.38,18.79,2.59,49.22,1174
281,H001,Almond (Prunus amygdalus),6,4.37,18.41,2.62,58.49,13.06,10.55,2.52,3.04,2549
282,H002,"Arecanut, dried, brown (Areca catechu)",6,6.63,5.78,1.39,4.35,11.44,10.14,1.30,70.42,1467
283,H003,"Arecanut, dried, red color (Areca catechu)",3,6.30,6.46,1.41,4.46,11.11,10.09,1.03,70.27,1477
284,H004,"Arecanut, fresh (Areca catechu)",2,37.70,2.73,1.43,5.51,7.63,6.59,1.03,45.00,1024
285,H005,Cashew nut (Anacardium occidentale),6,4.44,18.78,2.25,45.20,3.86,2.23,1.63,25.46,2438
286,H006,"Coconut, kernal, dry (Cocos nucifera)",6,3.97,7.27,1.61,63.26,15.88,14.55,1.33,8.01,2611
287,H007,"Coconut, kernel, fresh (Cocos nucifera)",6,36.14,3.84,1.93,41.38,10.42,9.43,0.99,6.30,1711
288,H008,"Garden cress, seeds (Lepidium sativum)",5,4.60,23.36,6.37,23.74,8.27,6.33,1.95,33.66,1863
289,H009,"Gingelly seeds, black (Sesamum indicum)",6,4.51,19.17,5.78,43.10,17.16,13.57,3.59,10.29,2124
290,H010,"Gingelly seeds, brown (Sesamum indicum)",4,3.62,21.61,4.58,43.22,17.21,13.58,3.63,9.76,2161
291,H011,"Gingelly seeds, white (Sesamum indicum)",5,3.30,21.70,4.13,43.05,16.99,13.49,3.51,10.83,2174
292,H012,Ground nut (Arachis hypogea),6,6.97,23.65,2.11,39.63,10.38,8.58,1.79,17.27,2176
293,H013,Mustard seeds (Brassica juncea),6,5.67,19.51,3.73,40.19,14.10,10.63,3.47,16.80,2132
294,H014,Linseeds (Linum usitatissimum),6,5.48,18.55,3.15,35.67,26.17,21.83,4.33,10.99,1857
295,H015,"Niger seeds, black (Guizotia abyssinica)",4,4.65,18.92,3.91,38.61,10.93,10.50,0.43,22.98,2144
296,H016,"Niger seeds, gray (Guizotia abyssinica)",5,5.66,18.34,4.92,39.53,10.96,10.54,0.41,20.59,2128
297,H017,Pine seed (Pinus gerardiana),5,5.32,12.55,2.78,48.79,3.79,2.23,1.57,26.77,2486
298,H018,Pistachio nuts (Pistacla vera),6,4.68,23.35,3.02,42.49,10.64,8.23,2.41,15.82,2257
299,H019,Safflower seeds (Carthamus tinctorius),5,5.24,17.66,2.57,30.87,13.49,10.24,3.25,30.18,1981
300,H020,Sunflower seeds (Helianthus annuus),5,3.53,23.53,3.44,51.85,10.80,8.51,2.29,6.85,2453
301,H021,Walnut (Juglans regia),6,3.56,14.92,1.72,64.27,5.39,4.74,0.65,10.14,2809
302,I001,"Jaggery, cane (Saccharum officinarum)",6,11.20,1.85,1.92,0.16,0,0,0,84.87,1480
303,I002,"Sugarcane, juice (Saccharum officinarum)",6,85.54,0.16,0.23,0.40,0.56,0.40,0.16,13.11,242
304,J001,"Button mushroom, fresh (Agaricus sp.)",1,90.09,3.68,0.71,0.42,3.11,2.76,0.35,1.98,115
305,J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,92.43,1.84,0.74,0.25,1.99,1.82,0.18,2.76,89
306,J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,82.94,3.19,1.11,0.76,3.02,2.03,0.99,8.98,243
307,J004,"Oyster mushroom, dried (Pleurotus sp.)",1,4.51,19.04,1.41,2.86,39.12,35.64,3.48,33.07,1019
308,K001,Toddy,10,93.86,0.18,0.21,0.03,0,0,0,5.72,101
309,K002,Coconut Water,6,95.77,0.26,0.65,0.16,0,0,0,3.16,64
310,L001,"Milk, whole, Buffalo",6,80.68,3.68,0.67,6.58,0,0,0,8.39,449
311,L002,"Milk, whole, Cow",6,86.64,3.26,0.68,4.48,0,0,0,4.94,305
312,L003,Paneer,6,51.96,18.86,1.98,14.78,0,0,0,12.41,1079
313,L004,Khoa,6,42.51,16.34,4.00,20.62,0,0,0,16.53,1322
314,M001,"Egg, poultry, whole, raw",6,76.51,13.28,0.81,9.15,0,0,0,0,564
315,M002,"Egg, poultry, white, raw",6,86.68,10.84,0.75,0.06,0,0,0,0,187
316,M003,"Egg, poultry, yolk, raw",6,53.57,15.74,1.05,26.34,0,0,0,0,1242
317,M004,"Egg, poultry, whole, boiled",6,73.46,13.43,0.86,10.54,0,0,0,0,618
318,M005,"Egg, poultry, white, boiled",6,83.54,12.37,0.81,0.26,0,0,0,0,220
319,M006,"Egg, poultry, yolk, boiled",6,51.42,16.13,1.38,27.46,0,0,0,0,1290
320,M007,"Egg, poultry, omlet",3,68.48,16.53,0.96,11.60,0,0,0,0,710
321,M008,"Egg, country hen, whole, raw",1,72.96,13.14,0.86,13.00,0,0,0,0,704
322,M009,"Egg, country hen, whole, boiled",1,70.43,14.43,0.94,14.10,0,0,0,0,767
323,M010,"Egg, country hen, omlet",1,67.80,14.80,1.08,16.30,0,0,0,0,855
324,M011,"Egg, duck, whole, boiled",1,71.61,13.80,0.97,13.61,0,0,0,0,738
325,M012,"Egg, duck, whole, raw",1,70.53,14.60,0.99,13.83,0,0,0,0,760
326,M013,"Egg, duck, whole, omlet",1,68.90,15.10,1.18,14.80,0,0,0,0,804
327,M014,"Egg, quial, whole, raw",1,75.11,12.39,0.94,11.46,0,0,0,0,635
328,M015,"Egg, quial, whole, boiled",1,74.41,13.03,0.99,11.50,0,0,0,0,647
329,N001,"Chicken, poultry, leg, skinless",4,67.61,19.44,1.14,12.64,0,0,0,0,1605
330,N002,"Chicken, poultry, thigh, skinless",6,67.58,18.18,1.14,14.23,0,0,0,0,836
331,N003,"Chicken, poultry, breast, skinless",5,67.15,21.81,1.19,9.00,0,0,0,0,704
332,N004,"Chicken, poultry, wing, skinless",5,67.48,17.42,1.13,13.81,0,0,0,0,807
333,N005,"Poultry, chicken, liver",1,73.20,21.57,1.11,4.08,0,0,0,0,518
334,N006,"Poultry, chicken, gizzard",1,78.05,18.22,1.46,2.07,0,0,0,0,386
335,N007,"Country hen, leg, with skin",1,70.02,17.01,1.20,11.73,0,0,0,0,723
336,N008,"Country hen, thigh, with skin",1,67.46,18.29,1.23,12.82,0,0,0,0,785
337,N009,"Country hen, breast, with skin",1,66.53,22.08,1.14,10.20,0,0,0,0,753
338,N010,"Country hen, wing, with skin",1,68.01,18.65,1.14,12.09,0,0,0,0,764
339,N011,"Duck, meat, with skin",1,73.49,19.07,1.22,6.03,0,0,0,0,547
340,N012,"Emu, meat, skinless",1,71.65,22.65,0.98,4.62,0,0,0,0,556
341,N013,"Guinea fowl, meat, with skin",1,75.21,20.52,0.92,3.24,0,0,0,0,469
342,N014,"Pigeon, meat, with skin",1,74.61,17.94,1.32,6.03,0,0,0,0,528
343,N015,"Quail, meat, skinless",1,71.58,20.92,1.35,5.95,0,0,0,0,576
344,N016,"Turkey, leg, with skin",1,69.24,20.30,1.21,8.15,0,0,0,0,647
345,N017,"Turkey, thigh, with skin",1,72.17,20.46,0.97,6.31,0,0,0,0,581
346,N018,"Turkey, breast, with skin",1,68.44,21.96,1.01,8.04,0,0,0,0,671
347,N019,"Turkey, wing, with skin",1,66.16,21.91,0.97,10.77,0,0,0,0,771
348,O001,"Goat, shoulder",6,66.39,20.33,0.90,11.94,0,0,0,0,787
349,O002,"Goat, chops",6,72.46,20.39,0.99,5.98,0,0,0,0,568
350,O003,"Goat, legs",6,68.85,22.07,0.97,7.94,0,0,0,0,669
351,O004,"Goat, brain",5,76.74,13.82,1.29,8.06,0,0,0,0,533
352,O005,"Goat, tongue",4,68.40,16.63,1.02,13.68,0,0,0,0,789
353,O006,"Goat, lungs",4,79.03,16.86,0.74,3.09,0,0,0,0,401
354,O007,"Goat, heart",5,75.15,19.38,0.95,4.40,0,0,0,0,492
355,O008,"Goat, liver",6,73.37,20.32,1.30,4.88,0,0,0,0,526
356,O009,"Goat, tripe",5,80.94,15.36,0.23,3.36,0,0,0,0,386
357,O010,"Goat, spleen",4,77.93,18.45,1.15,2.37,0,0,0,0,401
358,O011,"Goat, kidneys",4,80.26,15.60,1.10,2.93,0,0,0,0,374
359,O012,"Goat, tube (small intestine)",3,78.12,12.92,0.54,8.26,0,0,0,0,525
360,O013,"Goat, testis",2,84.29,12.32,0.87,2.39,0,0,0,0,298
361,O014,"Sheep, shoulder",5,66.51,18.24,0.86,14.31,0,0,0,0,840
362,O015,"Sheep, chops",4,75.66,18.00,1.09,5.15,0,0,0,0,496
363,O016,"Sheep, leg",5,68.26,21.42,0.94,8.69,0,0,0,0,686
364,O017,"Sheep, brain",1,78.36,13.05,1.19,7.29,0,0,0,0,492
365,O018,"Sheep, tongue",1,68.70,16.61,1.06,13.53,0,0,0,0,783
366,O019,"Sheep, lungs",2,80.41,16.12,0.97,2.41,0,0,0,0,363
367,O020,"Sheep, heart",1,77.06,18.19,0.97,3.66,0,0,0,0,445
368,O021,"Sheep, liver",4,69.71,22.26,1.26,4.87,0,0,0,0,559
369,O022,"Sheep, tripe",2,78.81,16.76,0.26,4.05,0,0,0,0,435
370,O023,"Sheep, spleen",1,79.66,16.02,1.17,3.02,0,0,0,0,384
371,O024,"Sheep, kidneys",2,79.77,16.22,1.00,2.92,0,0,0,0,384
372,O025,"Beef, shoulder",6,63.84,20.56,0.95,14.59,0,0,0,0,889
373,O026,"Beef, chops",4,72.40,19.82,0.96,6.71,0,0,0,0,585
374,O027,"Beef, round (leg)",6,68.04,22.64,1.19,7.38,0,0,0,0,658
375,O028,"Beef, brain",4,78.71,10.55,1.37,9.28,0,0,0,0,523
376,O029,"Beef, tongue",4,70.97,15.63,0.73,12.57,0,0,0,0,731
377,O030,"Beef, lungs",3,80.83,15.66,1.13,2.28,0,0,0,0,351
378,O031,"Beef, heart",5,77.77,17.68,0.87,3.57,0,0,0,0,433
379,O032,"Beef, liver",6,74.15,20.73,1.07,3.96,0,0,0,0,499
380,O033,"Beef, tripe",5,83.74,13.10,0.55,2.51,0,0,0,0,316
381,O034,"Beef, spleen",6,79.03,17.42,1.22,2.22,0,0,0,0,378
382,O035,"Beef, kidneys",3,77.59,17.09,1.22,4.01,0,0,0,0,439
383,O036,"Calf, shoulder",2,70.49,20.98,0.94,7.47,0,0,0,0,633
384,O037,"Calf, chops",2,72.66,22.47,0.92,3.85,0,0,0,0,524
385,O038,"Calf, round (leg)",2,71.13,21.10,0.74,6.92,0,0,0,0,615
386,O039,"Calf, brain",2,81.19,9.84,1.26,7.60,0,0,0,0,448
387,O040,"Calf, tongue",2,69.44,17.78,0.93,11.76,0,0,0,0,737
388,O041,"Calf, heart",1,73.44,18.84,0.86,3.75,0,0,0,0,459
389,O042,"Calf, liver",1,73.66,21.02,1.26,3.95,0,0,0,0,503
390,O043,"Calf, spleen",1,78.65,17.71,1.41,2.12,0,0,0,0,379
391,O044,"Calf, kidneys",2,80.23,15.16,1.02,3.50,0,0,0,0,387
392,O045,"Mithun, shoulder",1,68.86,19.05,0.84,11.14,0,0,0,0,736
393,O046,"Mithun, chops",1,73.81,18.19,0.79,6.12,0,0,0,0,536
394,O047,"Mithun, round (leg)",1,72.25,19.61,0.90,4.10,0,0,0,0,485
395,O048,"Pork, shoulder",6,62.92,17.41,0.75,18.83,0,0,0,0,993
396,O049,"Pork, chops",6,68.40,19.41,0.64,11.30,0,0,0,0,748
397,O050,"Pork, ham",6,61.94,18.83,0.62,18.55,0,0,0,0,1006
398,O051,"Pork, lungs",4,81.12,15.13,0.93,2.74,0,0,0,0,358
399,O052,"Pork, heart",4,77.74,16.31,1.01,4.87,0,0,0,0,457
400,O053,"Pork, liver",5,74.88,19.89,1.18,3.94,0,0,0,0,484
401,O054,"Pork, stomach",1,76.51,15.36,0.23,7.81,0,0,0,0,550
402,O055,"Pork, spleen",3,80.93,15.13,1.13,2.71,0,0,0,0,357
403,O056,"Pork, kidneys",5,80.92,14.35,0.97,3.65,0,0,0,0,379
404,O057,"Pork, tube (small intestine)",1,75.42,14.96,0.55,8.98,0,0,0,0,587
405,O058,"Hare, shoulder",1,71.06,21.13,1.17,6.58,0,0,0,0,603
406,O059,"Hare, chops",1,75.47,20.62,1.27,2.55,0,0,0,0,445
407,O060,"Hare, leg",1,73.00,20.52,1.26,4.16,0,0,0,0,503
408,O061,"Rabbit, shoulder",1,70.75,20.01,1.19,7.96,0,0,0,0,635
409,O062,"Rabbit, chops",1,71.03,22.61,1.35,4.88,0,0,0,0,565
410,O063,"Rabbit, leg",1,70.33,21.31,1.26,5.99,0,0,0,0,584
411,P001,Allathi (Elops machnata),1,75.91,21.77,1.06,0.98,0,0,0,0,406
412,P002,Aluva (Parastromateus niger),3,75.71,21.63,1.39,1.80,0,0,0,0,434
413,P003,Anchovy (Stolephorus indicus),2,77.77,19.88,1.62,0.78,0,0,0,0,367
414,P004,Ari fish (Aprion virescens ),1,77.09,22.01,1.34,1.11,0,0,0,0,415
415,P005,Betki (Lates calcarifer),1,82.52,15.28,1.12,0.29,0,0,0,0,284
416,P006,Black snapper (Macolor niger),1,78.09,19.50,1.19,1.24,0,0,0,0,377
417,P007,Bombay duck (Harpadon nehereus),2,83.24,13.53,1.07,1.03,0,0,0,0,287
418,P008,Bommuralu (Muraenesox cinerius),3,76.42,22.30,1.21,2.87,0,0,0,0,485
419,P009,Cat fish (Tachysurus thalassinus),1,76.22,22.18,1.32,2.13,0,0,0,0,456
420,P010,Chakla (Rachycentron canadum),5,78.36,20.21,1.07,1.68,0,0,0,0,406
421,P011,Chappal (Aluterus monoceros ),1,80.61,17.17,1.23,0.67,0,0,0,0,317
422,P012,Chelu (Elagatis bipinnulata),2,76.36,20.02,1.28,0.70,0,0,0,0,366
423,P013,Chembali (Lutjanus quinquelineatus),1,77.54,20.06,0.86,1.77,0,0,0,0,406
424,P014,Eri meen (Pristipomoides filamentosus),1,76.54,22.30,1.28,2.02,0,0,0,0,454
425,P015,Gobro (Epinephelus diacanthus),2,78.84,19.37,0.98,0.88,0,0,0,0,362
426,P016,Guitar fish (Rhinobatus prahli),1,75.73,22.56,1.32,0.44,0,0,0,0,400
427,P017,Hilsa (Tenualosa ilisha),2,60.09,21.80,1.11,18.49,0,0,0,0,1083
428,P018,Jallal (Arius sp.),1,77.50,21.55,1.17,1.46,0,0,0,0,420
429,P019,Jathi vela meen (Lethrinus lentjan),2,75.66,22.45,1.26,1.92,0,0,0,0,453
430,P020,Kadal bral (Synodus indicus),1,79.66,18.72,1.27,1.34,0,0,0,0,368
431,P021,Kadali (Nemipterus mesoprion),1,73.74,22.07,1.06,4.20,0,0,0,0,530
432,P022,Kalamaara (Leptomelanosoma indicum),2,75.50,20.89,1.08,4.54,0,0,0,0,523
433,P023,Kalava (Epinephelus coioides),1,80.02,19.38,1.34,1.20,0,0,0,0,374
434,P024,Kanamayya (Lutjanus rivulatus),2,77.59,20.19,1.07,0.65,0,0,0,0,367
435,P025,Kannadi paarai (Alectis indicus),3,76.25,22.09,1.28,1.27,0,0,0,0,423
436,P026,Karimeen (Etroplus suratensis),1,78.66,19.68,0.97,1.38,0,0,0,0,386
437,P027,Karnagawala (Anchoa hepsetus),1,79.22,19.52,1.45,0.84,0,0,0,0,363
438,P028,Kayrai (Thunnus albacores),2,72.69,20.15,1.28,3.00,0,0,0,0,454
439,P029,Kiriyan (Atule mate),1,72.39,22.49,0.94,4.70,0,0,0,0,556
440,P030,Kite fish (Mobula kuhlii),1,77.61,23.07,1.50,0.56,0,0,0,0,413
441,P031,Korka (Terapon jarbua),1,72.25,23.72,1.09,3.36,0,0,0,0,528
442,P032,Kulam paarai (Carangoides fulvoguttatus),1,73.44,21.62,1.25,3.60,0,0,0,0,501
443,P033,Maagaa (Polynemus plebeius),1,79.23,20.11,1.01,0.67,0,0,0,0,366
444,P034,Mackerel (Rastrelliger kanagurta),3,74.55,21.51,1.20,1.53,0,0,0,0,423
445,P035,Manda clathi (Naso reticulatus),1,76.32,21.27,1.48,1.00,0,0,0,0,398
446,P036,Matha (Acanthurus mata),2,79.81,21.17,1.35,0.79,0,0,0,0,389
447,P037,Milk fish (Chanos chanos),1,72.22,23.66,1.12,1.09,0,0,0,0,442
448,P038,Moon fish (Mene maculata),1,74.21,20.74,1.69,4.69,0,0,0,0,526
449,P039,Mullet (Mugil cephalus),3,76.12,20.23,1.16,1.32,0,0,0,0,393
450,P040,Mural (Tylosurus crocodilus crocodilus),1,78.96,19.04,1.11,0.58,0,0,0,0,345
451,P041,Myil meen (Istiophorus platypterus),2,75.57,22.89,1.21,0.56,0,0,0,0,410
452,P042,Nalla bontha (Epinephelus sp.),1,79.32,19.82,1.00,0.72,0,0,0,0,364
453,P043,Narba (Caranx sexfasciatus),2,76.37,21.95,1.17,1.60,0,0,0,0,432
454,P044,Paarai (Caranx heberi),1,75.77,21.58,1.21,1.84,0,0,0,0,435
455,P045,Padayappa (Canthidermis maculata),1,79.18,19.70,1.26,0.69,0,0,0,0,360
456,P046,Pali kora (Panna microdon),1,78.63,19.25,1.00,1.81,0,0,0,0,394
457,P047,Pambada (Lepturacanthus savala),2,74.67,21.95,1.41,4.44,0,0,0,0,537
458,P048,Pandukopa (Pseudosciaena manchurica),1,77.46,19.73,1.15,0.65,0,0,0,0,360
459,P049,Parava (Lactarius lactarius),1,77.19,21.50,1.08,2.74,0,0,0,0,467
460,P050,Parcus (Psettodes erumei),1,79.01,19.87,1.12,0.62,0,0,0,0,361
461,P051,Parrot fish (Scarus ghobban),1,76.84,20.82,1.40,0.57,0,0,0,0,375
462,P052,Perinkilichai (Pinjalo pinjalo),1,78.33,20.89,1.02,0.87,0,0,0,0,387
463,P053,Phopat (Coryphaena hippurus),4,76.42,22.05,1.24,1.33,0,0,0,0,424
464,P054,Piranha (Pygopritis sp.),1,76.15,20.46,0.93,5.43,0,0,0,0,549
465,P055,"Pomfret, black (Parastromateus niger)",1,74.43,18.91,0.97,4.83,0,0,0,0,515
466,P056,"Pomfret, snub nose (Trachinotus blochii)",2,77.81,21.05,1.29,0.46,0,0,0,0,375
467,P057,"Pomfret, white (Pampus argenteus)",2,75.91,19.02,1.01,5.12,0,0,0,0,513
468,P058,Pranel (Gerres sp.),1,79.54,19.69,0.76,1.89,0,0,0,0,405
469,P059,Pulli paarai (Gnathanodon speciosus),1,75.99,20.06,1.19,1.55,0,0,0,0,399
470,P060,Queen fish (Scomberoides commersonianus),3,76.63,20.97,1.22,1.17,0,0,0,0,400
471,P061,Raai fish (Lobotes surinamensis),2,77.14,21.61,1.11,1.69,0,0,0,0,430
472,P062,Raai vanthu (Epinephelus chlorostigma),1,79.95,19.39,0.92,2.17,0,0,0,0,410
473,P063,Rani (Pink perch),1,78.55,18.83,1.01,1.49,0,0,0,0,377
474,P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,80.30,19.03,1.15,0.70,0,0,0,0,349
475,P065,Red snapper (Lutjanus argentimaculatus),1,76.28,22.79,1.26,1.34,0,0,0,0,437
476,P066,"Red snapper, small (Priacanthus hamrur)",1,76.31,21.50,1.10,2.30,0,0,0,0,451
477,P067,Sadaya (Platax orbicularis ),1,75.53,20.68,1.32,2.97,0,0,0,0,462
478,P068,Salmon (Salmo salar),1,67.84,20.97,1.13,9.86,0,0,0,0,721
479,P069,Sangada (Nemipterus japonicus),1,78.51,20.26,1.26,2.67,0,0,0,0,443
480,P070,Sankata paarai (Caranx ignobilis),1,74.88,21.87,1.18,1.68,0,0,0,0,434
481,P071,Sardine (Sardinella longiceps),1,72.29,17.91,0.84,8.99,0,0,0,0,637
482,P072,Shark (Carcharhinus sorrah),2,72.82,21.60,1.08,0.83,0,0,0,0,398
483,P073,"Shark, hammer head (Sphyrna mokarran)",1,74.61,23.40,0.92,0.80,0,0,0,0,432
484,P074,"Shark, spotted (Stegostoma fasciatum)",1,78.83,20.95,1.04,0.75,0,0,0,0,384
485,P075,Shelavu (Sphyraena jello),4,74.60,22.46,1.26,1.74,0,0,0,0,446
486,P076,Silan (Silonia silondia),1,70.12,22.72,0.77,6.68,0,0,0,0,633
487,P077,Silk fish (Beryx sp.),1,77.61,20.65,1.05,1.53,0,0,0,0,408
488,P078,Silver carp (Hypophthalmichthys molitrix),1,72.47,21.71,0.95,5.17,0,0,0,0,555
489,P079,Sole fish (Cynoglossus arel),1,80.18,19.05,1.06,1.18,0,0,0,0,367
490,P080,Stingray (Dasyatis pastinaca),1,75.67,23.98,1.14,0.68,0,0,0,0,408
491,P081,Tarlava (Drepane punctata),2,76.76,21.72,1.14,1.20,0,0,0,0,414
492,P082,Tholam (Plectorhinchus schotaf),2,76.20,20.78,1.06,2.13,0,0,0,0,432
493,P083,Tilapia (Oreochromis niloticus),1,79.57,18.48,1.18,1.08,0,0,0,0,349
494,P084,Tuna (Euthynnus affinis),5,72.12,24.50,1.11,1.44,0,0,0,0,470
495,P085,"Tuna, striped (Katsuwonus pelamis)",1,77.76,21.28,0.87,1.12,0,0,0,0,403
496,P086,Valava (Chirocentrus nudus),1,77.25,21.80,1.27,1.06,0,0,0,0,410
497,P087,Vanjaram (Scomberomorus commerson ),2,72.30,22.28,1.33,5.18,0,0,0,0,570
498,P088,Vela meen (Aprion virescens),1,71.82,22.16,1.34,4.34,0,0,0,0,537
499,P089,Vora (Siganus javus),2,76.94,20.14,1.26,2.14,0,0,0,0,422
