,code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
326,M013,"Egg, duck, whole, omlet",1,0.31,0.09,0.14,1.05,0.15,13.81,67.95,0
327,M014,"Egg, quial, whole, raw",1,0.15,0.11,0.12,0.93,0.17,18.82,54.86,0
328,M015,"Egg, quial, whole, boiled",1,0.11,0.08,0.15,0.81,0.15,16.53,51.72,0
329,N001,"Chicken, poultry, leg, skinless",4,0.17,0.13,5.60,1.28,0.33,4.58,7.47,0
330,N002,"Chicken, poultry, thigh, skinless",6,0.13,0.10,5.62,1.06,0.38,3.86,9.00,0
331,N003,"Chicken, poultry, breast, skinless",5,0.10,0.06,8.06,1.15,0.53,4.11,10.44,0
332,N004,"Chicken, poultry, wing, skinless",5,0.08,0.07,6.66,1.28,0.39,3.61,7.87,0
333,N005,"Poultry, chicken, liver",1,0.28,0.20,4.44,6.39,0.92,4.07,1032,0
334,N006,"Poultry, chicken, gizzard",1,0.01,0.11,2.87,0.70,0.14,5.12,8.72,0
335,N007,"Country hen, leg, with skin",1,0.17,0.10,2.44,0.73,0.36,4.60,8.10,0
336,N008,"Country hen, thigh, with skin",1,0.11,0.13,3.62,0.89,0.42,2.91,10.42,0
337,N009,"Country hen, breast, with skin",1,0.11,0.04,5.62,0.81,0.59,3.06,12.98,0
338,N010,"Country hen, wing, with skin",1,0.07,0.03,3.19,0.85,0.43,5.13,9.19,0
339,N011,"Duck, meat, with skin",1,0.22,0.13,2.24,0.74,0.31,4.27,27.98,0
340,N012,"Emu, meat, skinless",1,0.10,0.17,3.26,2.21,0.35,0,7.07,0
341,N013,"Guinea fowl, meat, with skin",1,0.02,0.18,3.64,0.71,0.58,0,5.69,0
342,N014,"Pigeon, meat, with skin",1,0.18,0.39,3.45,0.79,0.48,0,8.41,0
343,N015,"Quail, meat, skinless",1,0.05,0.24,4.69,0.81,0.56,0,9.33,0
344,N016,"Turkey, leg, with skin",1,0.05,0.11,4.92,1.59,0.48,0,8.55,0
345,N017,"Turkey, thigh, with skin",1,0.04,0.12,1.94,1.54,0.51,0,10.91,0
346,N018,"Turkey, breast, with skin",1,0.06,0.10,4.49,1.53,0.56,0,14.67,0
347,N019,"Turkey, wing, with skin",1,0.03,0.09,4.38,1.36,0.45,0,10.41,0
348,O001,"Goat, shoulder",6,0.07,0.17,5.14,1.07,0.26,2.08,0,0
349,O002,"Goat, chops",6,0.05,0.13,5.51,0.98,0.30,1.53,0,0
350,O003,"Goat, legs",6,0.07,0.15,5.15,0.99,0.31,2.25,0,0
351,O004,"Goat, brain",5,0.13,0.17,2.04,1.52,0.28,1.30,0,0
352,O005,"Goat, tongue",4,0.14,0.22,3.04,0.88,0.17,2.54,0,0
353,O006,"Goat, lungs",4,0.08,0.32,2.79,0.83,0.14,1.80,0,0
354,O007,"Goat, heart",5,0.36,0.33,5.97,1.72,0.23,1.63,0,0
355,O008,"Goat, liver",6,0.20,0.37,12.88,7.01,0.65,178,0,0
356,O009,"Goat, tripe",5,0.02,0.10,0.81,0.21,0.20,2.36,0,0
357,O010,"Goat, spleen",4,0.06,0.16,5.20,6.58,0.33,3.30,0,0
358,O011,"Goat, kidneys",4,0.34,0.34,5.50,6.54,0.40,68.76,0,0
359,O012,"Goat, tube (small intestine)",3,0.01,0.11,0.64,0.53,0.21,1.87,0,0
360,O013,"Goat, testis",2,0.15,0.11,1.72,1.58,0.24,2.01,0,0
361,O014,"Sheep, shoulder",5,0.05,0.18,4.53,0.96,0.15,3.16,0,0
362,O015,"Sheep, chops",4,0.07,0.16,4.94,1.01,0.18,1.61,0,0
363,O016,"Sheep, leg",5,0.08,0.16,5.25,1.04,0.24,1.81,0,0
364,O017,"Sheep, brain",1,0.12,0.21,2.66,1.73,0.33,1.86,0,0
365,O018,"Sheep, tongue",1,0.15,0.20,2.78,0.35,0.16,2.40,0,0
366,O019,"Sheep, lungs",2,0.07,0.23,2.75,0.88,0.02,13.89,0,0
367,O020,"Sheep, heart",1,0.34,0.30,5.43,1.66,0.30,2.17,0,0
368,O021,"Sheep, liver",4,0.17,0.35,15.66,6.95,0.26,206,0,0
369,O022,"Sheep, tripe",2,0.02,0.08,0.63,0.20,0.22,1.87,0,0
370,O023,"Sheep, spleen",1,0.07,0.23,5.42,6.07,0.27,3.19,0,0
371,O024,"Sheep, kidneys",2,0.35,0.31,5.51,6.22,0.51,46.21,0,0
372,O025,"Beef, shoulder",6,0.03,0.12,5.18,1.14,0.48,8.06,0,0
373,O026,"Beef, chops",4,0.02,0.06,4.36,1.27,0.34,5.69,0,0
374,O027,"Beef, round (leg)",6,0.04,0.06,6.30,0.84,0.44,2.11,0,0
375,O028,"Beef, brain",4,0.12,0.13,1.91,1.76,0.25,5.39,0,0
376,O029,"Beef, tongue",4,0.05,0.13,2.93,0.72,0.19,10.81,0,0
377,O030,"Beef, lungs",3,0.09,0.12,3.13,0.85,0.23,6.98,0,0
378,O031,"Beef, heart",5,0.24,0.30,5.38,1.55,0.25,8.50,0,0
379,O032,"Beef, liver",6,0.17,0.34,14.01,9.32,0.30,1744,0,0
380,O033,"Beef, tripe",5,0.03,0.08,1.31,1.09,0.23,1.45,0,0
381,O034,"Beef, spleen",6,0.31,0.25,7.45,7.30,0.26,3.40,0,0
382,O035,"Beef, kidneys",3,0.26,0.27,6.52,2.05,0.22,53.68,0,0
383,O036,"Calf, shoulder",2,0.10,0.20,6.11,0.98,0.50,9.25,0,0
384,O037,"Calf, chops",2,0.07,0.17,5.11,0.94,0.37,2.13,0,0
385,O038,"Calf, round (leg)",2,0.03,0.17,5.97,0.87,0.41,7.81,0,0
386,O039,"Calf, brain",2,0.07,0.19,3.19,1.61,0.30,1.50,0,0
387,O040,"Calf, tongue",2,0.11,0.22,4.31,0.79,0.17,5.20,0,0
388,O041,"Calf, heart",1,0.26,0.29,5.30,2.29,0.41,9.41,0,0
389,O042,"Calf, liver",1,0.17,0.31,12.98,8.95,0.59,1473,0,0
390,O043,"Calf, spleen",1,0.09,0.28,7.61,6.83,0.44,3.58,0,0
391,O044,"Calf, kidneys",2,0.32,0.35,4.16,2.49,0.30,33.48,0,0
392,O045,"Mithun, shoulder",1,0.04,0.06,6.29,1.31,0.37,1.86,0,0
393,O046,"Mithun, chops",1,0.20,0.18,4.76,1.62,0.34,1.90,0,0
394,O047,"Mithun, round (leg)",1,0.02,0.05,5.30,1.36,0.29,1.86,0,0
395,O048,"Pork, shoulder",6,0.18,0.10,4.22,0.86,0.41,6.70,0,0
396,O049,"Pork, chops",6,0.30,0.11,4.49,0.72,0.36,7.74,0,0
397,O050,"Pork, ham",6,0.24,0.10,4.59,0.79,0.25,1.51,0,0
398,O051,"Pork, lungs",4,0.08,0.14,3.11,1.79,0.19,6.36,0,0
399,O052,"Pork, heart",4,0.28,0.30,5.13,1.49,0.30,4.73,0,0
400,O053,"Pork, liver",5,0.16,0.31,13.76,7.93,0.37,954,0,0
401,O054,"Pork, stomach",1,0.10,0.06,1.90,3.10,0.19,6.87,0,0
402,O055,"Pork, spleen",3,0.13,0.27,7.80,4.87,0.22,5.92,0,0
403,O056,"Pork, kidneys",5,0.24,0.37,6.46,2.52,0.16,59.61,0,0
404,O057,"Pork, tube (small intestine)",1,0.08,0.10,0.90,3.02,0.19,7.84,0,0
405,O058,"Hare, shoulder",1,0.07,0.27,5.04,0.70,0.28,2.20,0,0
406,O059,"Hare, chops",1,0.07,0.28,4.85,0.61,0.22,3.85,0,0
407,O060,"Hare, leg",1,0.08,0.22,5.63,0.64,0.24,1.95,0,0
408,O061,"Rabbit, shoulder",1,0.03,0.14,4.38,0.69,0.30,1.80,0,0
409,O062,"Rabbit, chops",1,0.02,0.08,7.54,0.73,0.24,2.10,0,0
410,O063,"Rabbit, leg",1,0.03,0.10,5.02,0.70,0.26,1.80,0,0
411,P001,Allathi (Elops machnata),1,0.08,0.04,3.67,0.72,194,1230,0,0
412,P002,Aluva (Parastromateus niger),3,0.05,0.02,2.35,0.74,158,1132,0,0
413,P003,Anchovy (Stolephorus indicus),2,0.03,0.04,0.91,1.21,61.25,1170,0,0
414,P004,Ari fish (Aprion virescens ),1,0.06,0.03,3.65,0.23,218,602,0,0
415,P005,Betki (Lates calcarifer),1,0.01,0.04,1.54,0.40,85.00,2079,0,0
416,P006,Black snapper (Macolor niger),1,0.02,0,2.89,0.54,106,1772,0,0
