code,name,regn,mg,mn,hg,mo,ni,p,k,se,na,zn
G005,"Chillies, green-5 (Capsicum annum)",2,23.96±6.20,0.25±0.11,,0.001±0.001,0.021±0.014,44.35±15.69,317±66.7,,2.19±0.88,0.31±0.13
G006,"Chillies, green-6 (Capsicum annum)",1,34.8,0.33,,0.006,,56.05,340,,2.43,0.29
G007,"Chillies, green-7 (Capsicum annum)",1,26.71,0.28,,,0.034,45.58,319,,2,0.17
G008,"Chillies, green - all varieties (Capsicum annum)",6,29.51±7.13,0.28±0.10,,0.002±0.002,0.029±0.022,50.91±11.79,341±64.6,,2.50±0.80,0.27±0.09
G009,Coriander leaves (Coriandrum sativum),6,72.68±14.20,0.96±0.25,,0.014±0.009,0.044±0.015,64.69±13.00,546±134,0.45±0.26,37.00±8.01,0.68±0.16
G010,Curry leaves (Murraya koenigii),6,182±44.8,1.23±0.25,,0.013±0.006,0.093±0.030,83.29±14.06,584±113,17.25±5.96,18.66±4.13,1.18±0.51
G011,"Garlic, big clove (Allium sativum)",6,27.08±7.89,0.34±0.03,,0.001±0.000,0.019±0.009,119±10.9,430±84,,9.42±0.07,0.89±0.18
G012,"Garlic, small clove (Allium sativum)",3,25.78±4.86,0.32±0.11,,,0.026±0.016,116±27.9,453±126,0.37±0.07,10.56±0.05,0.81±0.17
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,41.13,0.13,,0.009,0.032,128,584,0.43,8.87,0.66
G014,"Ginger, fresh (Zinziber officinale)",6,54.66±7.12,3.85±1.56,,0.002±0.001,0.030±0.017,44.36±2.16,407±49.5,,10.03±1.91,0.39±0.17
G015,Mango ginger (Curcuma amada),3,36.86±6.27,1.52±0.53,0.04±0.01,0.006±0.004,0.011±0.005,68.33±20.13,384±2.5,,5.51±1.29,0.47±0.14
G016,Mint leaves (Mentha spicata ),4,110±30.9,1.06±0.57,0.21±0.00,0.020±0.000,0.042±0.000,65.25±16.18,539±2.7,10.79±1.48,16.87±5.37,0.75±0.08
G017,"Onion, big (Allium cepa)",6,17.96±5.17,0.24±0.21,,,0.008±0.005,32.34±7.63,171±38.6,0.35±0.10,5.50±1.14,0.35±0.29
G018,"Onion, small (Allium cepa)",5,15.16±3.75,0.11±0.02,,0.003±0.000,0.005±0.002,39.65±9.90,160±34.8,1.02±0.77,4.06±0.06,0.24±0.04
G019,Asafoetida (Ferula assa-foetida),6,96.40±17.98,2.96±1.11,,0.014±0.006,0.052±0.030,69.09±15.60,245±30.4,13.42±2.90,16.04±0.55,0.98±0.21
G020,"Cardamom, green (Elettaria cardamomum)",6,330±66.1,37.98±1.44,,0.013±0.018,0.219±0.074,132±14.8,1262±14.4,11.71±2.73,15.51±0.70,3.71±0.31
G021,"Cardamom, black (Elettaria cardamomum)",4,286±31.9,30.25±2.38,,0.006±0.001,0.234±0.183,117±18.7,1331±63.7,3.99±1.89,16.25±4.22,4.75±0.36
G022,"Chillies, red (Capsicum annum)",6,231±25.4,1.45±0.13,1.60±0.25,0.012±0.011,0.036±0.004,280±57.5,2245±145,18.83±2.09,19.45±3.60,1.66±0.12
G023,Cloves (Syzygium aromaticum),6,334±42.2,61.86±5.79,,0.008±0.004,0.060±0.021,83.10±18.56,1434±86.6,7.75±1.59,183±23.9,1.13±0.14
G024,Coriander seeds (Coriandrum sativum),6,343±25.5,2.81±0.39,,0.011±0.005,0.143±0.024,293±54.4,1473±59.2,6.34±1.22,34.41±0.39,3.91±0.32
G025,Cumin seeds (Cuminum cyminum),6,442±65.7,4.21±0.63,,0.015±0.006,0.164±0.063,382±6.4,1886±139,4.01±1.98,125±31.1,4.29±0.23
G026,Fenugreek seeds (Trigonella foenum graecum),6,167±35.6,1.60±0.33,,0.098±0.036,0.188±0.054,435±115,891±11.5,9.98±1.81,40.20±0.06,3.80±0.93
G027,Mace (Myristica fragrans),6,207±25.1,2.12±0.73,,0.013±0.009,0.259±0.093,110±17.7,623±25.9,7.24±3.15,27.17±6.81,1.16±0.15
G028,Nutmeg (Myristica fragrans),6,212±25.0,3.42±0.17,,0.007±0.005,0.221±0.060,207±37.2,474±15.2,7.33±6.84,14.31±0.28,1.45±0.10
G029,Omum (Trachyspermum ammi),6,273±22.3,6.86±0.92,,0.053±0.018,0.296±0.069,329±57.7,1692±246,87.04±10.70,28.58±0.29,5.67±0.46
G030,Pippali (Piper longum),6,189±46.0,1.85±0.70,,0.040±0.021,0.218±0.117,181±6.9,1852±425,20.51±4.23,16.28±2.00,1.52±0.26
G031,"Pepper, black (Piper nigrum)",6,196±68.8,7.50±1.22,,0.022±0.014,0.269±0.088,144±14.8,1487±178,12.13±2.48,24.08±3.85,1.24±0.43
G032,Poppy seeds (Papaver somniferum),6,393±60.9,7.14±1.11,,0.103±0.030,0.143±0.039,804±139,646±55.0,7.68±1.67,25.35±2.22,6.38±0.21
G033,Turmeric powder (Curcuma domestica),6,260±16.2,8.09±1.55,1.93±0.52,0.047±0.048,0.049±0.020,276±33.1,2374±172,6.41±1.34,24.41±2.48,2.64±0.25
H001,Almond (Prunus amygdalus),6,318±49.5,2.54±0.20,,0.033±0.012,0.130±0.027,446±23.2,699±43.4,3.61±1.30,1.50±0.51,3.50±0.10
H002,"Arecanut, dried, brown (Areca catechu)",6,76.39±17.49,2.14±0.75,,0.005±0.003,0.111±0.057,105±8.3,524±43.4,15.21±4.09,12.06±1.47,0.89±0.11
H003,"Arecanut, dried, red color (Areca catechu)",3,91.01±14.45,2.32±0.84,,0.022±0.036,0.104±0.019,127±3.4,617±125,12.52±1.56,17.13±2.81,1.02±0.20
H004,"Arecanut, fresh (Areca catechu)",2,47.6,1.36,,,,90.48,329,,5.53,0.56
H005,Cashew nut (Anacardium occidentale),6,307±46.6,1.78±0.08,,0.025±0.011,0.607±0.145,500±35.3,635±35.2,13.08±1.07,9.00±0.19,5.34±0.27
H006,"Coconut, kernal, dry (Cocos nucifera)",6,97.21±14.66,1.61±0.40,2.10±0.65,0.025±0.013,0.282±0.098,203±6.0,739±62.0,25.25±2.78,16.68±0.38,1.41±0.11
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,35±11.30,0.74±0.15,,0.012±0.008,0.050±0.025,67.73±15.15,246±81.2,,8.12±2.48,0.58±0.16
H008,"Garden cress, seeds (Lepidium sativum)",5,307±11.9,2.87±0.35,,0.033±0.007,0.128±0.045,539±50.7,952±41.7,54.41±4.38,21.84±3.57,4.83±0.97
H009,"Gingelly seeds, black (Sesamum indicum)",6,390±53.1,2.53±0.32,,0.075±0.021,0.262±0.100,568±96.4,480±8.7,15.70±1.67,15.91±0.56,8.59±0.69
H010,"Gingelly seeds, brown (Sesamum indicum)",4,328±13.3,1.76±0.19,,0.114±0.029,0.113±0.030,613±86.8,491±7.5,52.64±8.89,11.94±0.17,7.84±0.93
H011,"Gingelly seeds, white (Sesamum indicum)",5,372±39.9,1.74±0.15,,0.126±0.036,0.116±0.039,754±42.6,460±38.9,26.74±2.78,15.43±0.70,7.77±0.67
H012,Ground nut (Arachis hypogea),6,197±15.5,1.62±0.07,1.37±0.00,0.108±0.024,0.174±0.065,391±13.0,679±48.9,3.41±0.74,12.21±0.47,3.18±0.14
H013,Mustard seeds (Brassica juncea),6,266±47.3,4.23±1.18,,0.028±0.010,0.076±0.036,715±82.1,694±112,71.47±15.33,3.97±1.01,4.03±0.26
H014,Linseeds (Linum usitatissimum),6,349±19.8,2.14±0.23,,0.022±0.009,0.171±0.052,445±20.1,655±45.6,46.87±9.22,32.93±6.45,4.86±0.25
H015,"Niger seeds, black (Guizotia abyssinica)",4,346±41.0,3.08±0.19,,0.030±0.018,0.257±0.036,461±9.5,716±70.6,39.31±5.41,10.70±1.79,4.98±0.77
H016,"Niger seeds, gray (Guizotia abyssinica)",5,379±69.3,4.44±0.14,,0.048±0.026,0.293±0.104,474±93.5,874±11.4,153.64±5.52,8.08±0.18,3.62±0.82
H017,Pine seed (Pinus gerardiana),5,268±18.7,7.92±0.55,,0.033±0.021,0.191±0.045,618±39.7,686±69.0,10.56±4.93,1.31±0.04,4.18±0.04
H018,Pistachio nuts (Pistacla vera),6,149±3.0,0.87±0.06,0.65±0.33,0.022±0.003,0.087±0.009,537±9.2,1053±11.7,10.46±2.65,6.93±1.84,2.42±0.14
H019,Safflower seeds (Carthamus tinctorius),5,321±49.5,0.56±0.81,0.36±0.10,0.020±0.010,0.053±0.016,644±56.5,550±64.3,6.33±1.14,3.05±0.91,3.90±0.76
H020,Sunflower seeds (Helianthus annuus),5,413±33.5,2.35±0.91,,0.047±0.020,0.322±0.144,752±118,559±8.0,,1.90±0.44,7.07±0.52
