code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
D011,Brinjal-2 (Solanum melongena),1,1.57,3.23,4.53,4.03,0.8,0.76,4.4,2.54,0.66,4.15
D012,Brinjal-3 (Solanum melongena),2,1.98,3.8,5.53,3.87,0.88,0.67,5.42,3.08,0.68,5.2
D013,Brinjal-4 (Solanum melongena),4,2.36±0.14,3.79±0.42,5.18±0.91,4.24±0.21,0.78±0.13,0.79±0.10,4.30±0.18,2.86±0.56,0.78±0.03,4.15±1.14
D014,Brinjal-5 (Solanum melongena),3,1.67±0.18,3.99±0.52,6.14±0.33,3.82±0.10,0.95±0.06,0.79±0.05,4.52±0.15,3.23±0.13,0.72±0.06,5.39±0.36
D015,Brinjal-6 (Solanum melongena),2,2.31,3.14,5.77,3.67,0.76,0.63,4.6,2.69,0.68,3.86
D016,Brinjal-7 (Solanum melongena),1,2.11,3.44,6.18,4.25,0.95,0.99,4.85,3.03,0.7,4.72
D017,Brinjal-8(Solanum melongena),3,2.47±0.16,4.62±0.45,6.84±0.52,5.27±0.35,0.94±0.02,0.76±0.15,4.84±0.31,2.94±0.12,0.60±0.12,5.77±0.43
D018,Brinjal-9(Solanum melongena),2,2.39,4.44,6.51,4.94,1.03,0.81,4.31,2.97,0.75,5.66
D019,Brinjal-10 (Solanum melongena),2,1.72,3.38,5.63,3.93,0.59,0.59,4.46,2.71,1.07,4.5
D020,Brinjal-11 (Solanum melongena),6,1.79±0.28,3.35±1.00,5.24±0.90,3.15±0.64,0.81±0.18,0.79±0.12,4.75±0.28,3.04±0.38,0.73±0.28,4.36±1.45
D021,Brinjal-12 (Solanum melongena),2,2.71,3.98,5.68,4.06,1,0.51,4.43,3.33,0.71,5.42
D022,Brinjal-13(Solanum melongena),1,2.3,4.12,5.77,4.66,0.76,0.84,5.47,3.43,0.8,5.98
D023,Brinjal-14(Solanum melongena),3,2.12±0.26,3.98±0.47,5.34±0.80,4.26±0.18,0.84±0.21,0.63±0.18,4.29±0.33,2.84±0.34,0.90±0.10,4.82±0.26
D024,Brinjal-15 (Solanum melongena),4,1.64±0.26,3.09±0.55,5.10±0.91,3.55±0.28,0.70±0.22,0.53±0.14,4.51±0.75,2.85±0.22,0.91±0.20,4.48±1.18
D025,Brinjal-16(Solanum melongena),1,2.21,3.9,6.04,3.23,0.78,0.59,3.52,2.92,0.73,4.84
D026,Brinjal-17(Solanum melongena),1,2.24,3.79,5.6,4.7,0.8,0.84,4.35,3.08,0.89,4.97
D027,Brinjal-18 (Solanum melongena),3,1.67±0.26,3.14±0.60,5.45±0.42,3.29±0.03,0.60±0.31,0.49±0.15,4.41±0.13,2.51±0.35,0.89±0.21,3.31±1.31
D028,Brinjal-19(Solanum melongena),3,1.93±0.31,3.73±0.59,6.23±0.69,3.90±0.97,0.84±0.32,0.63±0.16,4.63±0.87,2.95±0.42,0.83±0.21,3.75±1.73
D029,Brinjal-20(Solanum melongena),5,1.88±0.35,3.63±0.46,5.70±0.70,3.35±0.30,0.97±0.15,0.77±0.16,5.69±0.71,3.07±0.05,0.86±0.38,4.81±0.60
D030,Brinjal-21(Solanum melongena),2,2.07,3.15,5.44,3.4,0.68,0.71,4.87,3.24,0.97,4.6
D031,Brinjal - all varieties (Solanum melongena),6,1.98±0.37,3.63±0.73,5.61±0.78,3.81±0.75,0.82±0.20,0.71±0.16,4.70±0.68,2.96±0.36,0.80±0.21,4.60±1.15
D032,Broad beans (Vicia faba),3,3.16±0.63,4.28±0.12,7.63±0.15,5.66±0.50,0.65±0.81,0.55±0.03,3.86±0.59,3.40±0.66,0.88±0.02,5.41±0.16
D033,"Capsicum, green (Capsicum annuum)",6,1.72±0.79,3.79±0.95,5.68±0.57,3.47±1.08,1.24±0.40,0.98±0.04,3.49±1.26,4.05±0.56,0.96±0.15,5.17±0.78
D034,"Capsicum, red (Capsicum annuum)",4,1.16±0.15,3.61±0.17,5.40±0.21,3.67±0.12,1.10±0.14,1.13±0.15,3.16±0.40,4.14±0.17,0.92±0.12,5.17±0.26
D035,"Capsicum, yellow (Capsicum annuum)",4,1.13±0.23,3.92±0.20,5.29±0.28,3.80±0.33,1.18±0.20,1.19±0.21,2.98±0.19,4.31±0.71,0.99±0.22,5.24±0.48
D036,Cauliflower (Brassica oleracea),6,1.80±0.19,3.84±0.45,6.01±0.86,4.13±0.41,1.01±0.10,0.56±0.10,3.88±0.49,4.02±0.33,1.06±0.06,5.81±0.89
D037,Celery stalk (Apium graveolens),3,1.43±0.13,2.93±0.14,4.44±0.45,3.32±0.21,0.90±0.05,0.45±0.07,2.92±0.53,3.71±0.56,1.15±0.03,4.64±0.15
D038,Cho-cho-marrow (Sechium edule),4,1.82±0.54,4.72±0.68,8.64±0.94,3.56±0.56,1.29±0.17,0.70±0.17,4.65±0.54,4.57±0.67,0.86±0.09,6.71±0.69
D039,Cluster beans (Cyamopsis tetragonobola),6,1.75±0.33,2.68±1.05,4.68±0.73,3.09±0.56,0.82±0.03,1.02±0.20,2.99±0.99,3.27±0.86,0.91±0.16,3.96±1.01
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,2.28,4.1,7.53,4.09,1.22,1.51,4.06,4.28,0.75,5.96
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,2.37±0.51,4.26±0.53,7.20±0.53,3.33±0.97,1.20±0.19,0.80±0.20,4.14±0.48,4.22±0.34,0.73±0.10,5.96±0.35
D042,"Corn, Baby (Zea mays)",6,2.13±0.16,4.35±0.28,8.03±0.30,3.36±0.39,1.59±0.29,1.27±0.13,4.85±0.17,4.83±0.34,0.96±0.18,4.87±0.33
D043,"Cucumber, green, elongate (Cucumis sativus)",6,1.92±0.27,4.14±0.47,6.94±0.63,3.15±0.30,1.06±0.22,0.64±0.14,3.17±0.45,3.13±0.72,0.27±0.12,6.09±0.88
D044,"Cucumber, green, short (Cucumis sativus)",6,1.84±0.28,3.77±0.47,6.11±0.37,3.38±0.29,0.87±0.15,0.79±0.22,4.14±0.05,3.14±0.16,0.66±0.14,5.22±0.38
D045,"Cucumber, orange, round (Cucumis sativus)",2,1.8,4.74,6.43,3.28,0.75,0.76,4.43,3.7,0.52,6.13
D046,Drumstick (Moringa oleifera),6,1.95±0.15,3.08±0.29,5.98±0.37,3.09±0.45,1.10±0.30,0.89±0.22,3.43±0.36,3.83±0.08,0.53±0.15,5.02±0.35
D047,"Field beans, tender, broad (Vicia faba)",2,2.63,4.05,8.19,4.61,0.83,0.59,4.57,3.68,0.75,5.1
D048,"Field beans, tender, lean (Vicia faba)",6,2.75±0.06,4.30±0.19,8.20±0.37,5.35±0.49,0.94±0.06,0.62±0.11,4.73±0.41,3.76±0.04,0.80±0.08,5.21±0.16
D049,"French beans, country (Phaseolus vulgaris)",5,3.01±0.67,3.79±0.67,7.29±0.81,4.77±0.54,0.83±0.12,0.60±0.15,4.04±0.57,4.39±0.25,0.96±0.13,5.38±0.84
D050,"French beans, hybrid (Phaseolus vulgaris)",2,2.57,4.35,6.71,4.83,1.07,0.53,4.22,4.32,0.8,5.98
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,1.86±0.21,4.90±0.48,6.60±0.53,2.99±0.14,0.79±0.11,0.65±0.09,3.96±0.76,4.16±0.56,0.53±0.08,5.65±0.18
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,1.69±0.17,5.50±0.52,7.19±0.34,3.73±0.29,0.94±0.17,0.55±0.03,6.22±0.34,5.46±0.51,0.94±0.14,6.86±0.10
D053,Knol - Khol (Brassica oleracea),6,0.91±0.65,3.40±0.11,4.04±0.09,2.50±1.09,0.96±0.06,0.71±0.02,1.90±0.18,3.30±0.26,0.78±0.05,5.31±0.19
D054,"Kovai, big (Coccinia cordifolia)",6,1.91±0.16,4.10±0.36,7.32±0.34,7.05±0.27,0.94±0.09,0.66±0.11,3.87±0.81,4.17±0.38,0.93±0.08,4.97±0.78
D055,"Kovai, small (Coccinia cordifolia)",1,1.83,3.88,7.14,6.38,0.9,0.69,4.16,4.2,0.85,5.05
D056,Ladies finger (Abelmoschus esculentus),6,2.42±0.37,3.26±0.48,5.04±0.42,3.79±0.51,0.81±0.21,0.57±0.10,3.44±0.27,3.75±0.38,0.49±0.09,4.46±0.36
D057,"Mango, green, raw (Mangifera indica)",6,2.83±0.21,4.44±0.88,7.90±0.75,5.34±0.39,1.37±0.08,0.71±0.05,3.75±0.16,4.19±0.46,1.06±0.36,5.79±1.02
D058,"Onion, stalk (Allium cepa)",6,2.16±0.18,4.88±0.20,8.05±0.20,6.50±0.38,1.21±0.22,0.46±0.12,4.09±0.19,4.74±0.33,1.07±0.03,5.90±0.32
D059,"Papaya, raw (Carica papaya)",6,0.97±0.09,1.57±0.19,3.22±0.28,3.82±0.98,0.63±0.21,3.77±0.37,3.91±1.94,2.85±0.80,1.00±0.10,3.16±0.23
D060,Parwar (Trichosanthes dioica),6,1.75±0.27,4.41±0.59,7.22±0.30,5.89±0.91,1.33±0.33,0.86±0.10,3.86±0.99,3.82±0.45,0.59±0.15,5.95±0.32
D061,"Peas, fresh (Pisum sativum)",6,2.15±0.38,3.33±1.04,7.63±0.64,5.72±0.54,0.63±0.12,0.64±0.13,5.02±0.24,4.08±0.37,0.84±0.08,4.23±0.98
D062,"Plantain, flower (Musa x paradisiaca)",6,2.31±0.14,3.63±0.50,7.06±0.47,2.81±0.20,0.81±0.19,0.65±0.15,3.68±0.31,4.43±0.20,0.81±0.10,4.75±0.55
D063,"Plantain, green (Musa x paradisiaca)",6,2.45±0.19,2.59±0.54,4.98±0.51,3.70±0.25,0.80±0.08,0.67±0.10,5.32±1.40,2.93±0.25,0.68±0.13,5.51±0.46
D064,"Plantain, stem (Musa x paradisiaca)",6,1.91±0.58,4.92±0.41,4.59±0.32,2.99±0.64,1.57±0.34,0.99±0.21,4.50±0.78,4.86±0.50,0.67±0.11,5.84±0.62
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,2.18,4.54,5.41,3.4,0.96,0.6,2.84,3.47,0.73,5.97
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,1.68±0.10,5.00±0.36,5.32±0.34,3.20±0.48,1.03±0.13,0.68±0.06,4.91±1.13,3.85±0.43,0.77±0.19,6.05±0.50
D067,"Red gram, tender, fresh (Cajanus cajan)",1,3.14,3.31,4.89,6.21,0.41,0.75,8.56,3.87,0.99,4.3
D068,Ridge gourd (Luffa acutangula),6,1.87±0.14,4.60±0.14,5.34±0.09,4.78±0.37,0.98±0.08,0.40±0.10,4.21±0.38,3.68±0.11,0.72±0.09,5.95±0.30
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,2.25±0.59,4.92±0.40,5.79±0.10,4.64±0.72,1.06±0.25,0.42±0.07,4.45±0.28,4.03±0.27,0.69±0.05,5.99±0.30
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,1.64±0.12,4.11±0.62,5.22±0.07,4.13±0.28,0.90±0.13,0.65±0.05,4.11±0.36,3.40±0.37,0.60±0.09,5.66±0.48
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,1.85,4.85,5.71,5.64,0.93,0.64,3.95,3.86,0.63,5.27
D072,"Snake gourd, short (Trichosanthes anguina)",1,1.35,4.06,5.66,4.91,1.13,0.61,4.25,3.12,0.63,5.4
